FECHA PRECIP  EVAP   TMAX   TMIN
14/04/1991  0     Nulo    14     4 
15/04/1991  0     Nulo    14     6 
16/04/1991  0     Nulo    14     6 
17/04/1991  0     Nulo    14     6 
18/04/1991  0     Nulo    15     6 
19/04/1991  0     Nulo    16     7 
20/04/1991  0     Nulo    16     8 
21/04/1991  0     Nulo    19     8 
22/04/1991  0     Nulo    19     10 
23/04/1991  0     Nulo    20     10 
24/04/1991  0     Nulo    16     11 
25/04/1991  0     Nulo    18     7 
26/04/1991  0     Nulo    18     11 
27/04/1991  0     Nulo    16     10 
28/04/1991  0     Nulo    15     8 
29/04/1991  0     Nulo    18     6 
30/04/1991  0     Nulo    16     10 
01/05/1991  0     Nulo    16     8 
02/05/1991  0     Nulo    17     8 
03/05/1991  0     Nulo    16     9 
04/05/1991  0     Nulo    15     8 
05/05/1991  0     Nulo    17     5 
06/05/1991  0     Nulo    18     9 
07/05/1991  0     Nulo    18     9 
08/05/1991  0     Nulo    20     10 
09/05/1991  0     Nulo    20     10 
10/05/1991  0     Nulo    22     10 
11/05/1991  0     Nulo    21     15 
12/05/1991  0     Nulo    21     14 
13/05/1991  0     Nulo    21     15 
14/05/1991  0     Nulo    20     14 
15/05/1991  0     Nulo    20     12 
16/05/1991  0     Nulo    20     12 
17/05/1991  0     Nulo    20     13 
18/05/1991  0     Nulo    21     14 
19/05/1991  0     Nulo    21     15 
20/05/1991  0     Nulo    21     14 
21/05/1991  0     Nulo    21     15 
22/05/1991  0     Nulo    20     15 
23/05/1991  0     Nulo    20     12 
24/05/1991  0     Nulo    20     12 
25/05/1991  0     Nulo    22     12 
26/05/1991  0     Nulo    22     14 
27/05/1991  0     Nulo    20     14 
28/05/1991  0     Nulo    20     13 
29/05/1991  0     Nulo    21     12 
30/05/1991  0     Nulo    26     12 
31/05/1991  0     Nulo    22     18 
01/06/1991  0     Nulo    22     13 
02/06/1991  0     Nulo    20     13 
03/06/1991  0     Nulo    21     11 
04/06/1991  0     Nulo    21     13 
05/06/1991  0     Nulo    22     13 
06/06/1991  0     Nulo    22     14 
07/06/1991  0     Nulo    24     14 
08/06/1991  0     Nulo    24     17 
09/06/1991  1.8   Nulo    24     17 
10/06/1991  0     Nulo    22     17 
11/06/1991  0.9   Nulo    22     14 
12/06/1991  0     Nulo    21     13 
13/06/1991  0     Nulo    24     13 
14/06/1991  0     Nulo    20     15 
15/06/1991  0     Nulo    22     12 
16/06/1991  0     Nulo    22     14 
17/06/1991  0     Nulo    24     14 
18/06/1991  0     Nulo    24     16 
19/06/1991  0     Nulo    24     16 
20/06/1991  0     Nulo    24     16 
21/06/1991  0     Nulo    23     16 
22/06/1991  0     Nulo    24     15 
23/06/1991  0     Nulo    25     16 
24/06/1991  0     Nulo    26     17 
25/06/1991  0     Nulo    27     17 
26/06/1991  0     Nulo    28     19 
27/06/1991  0.5   Nulo    28     20 
28/06/1991  0.1   Nulo    27     20 
29/06/1991  0.8   Nulo    25     19 
30/06/1991  0     Nulo    27     17 
01/07/1991  7.2   Nulo    26     18 
02/07/1991  1.6   Nulo    27     18 
03/07/1991  0.8   Nulo    27     18 
04/07/1991  0.9   Nulo    27     18 
05/07/1991  1.6   Nulo    27     18 
06/07/1991  0.8   Nulo    25     18 
07/07/1991  0.5   Nulo    26     16 
08/07/1991  0.2   Nulo    25     18 
